No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
206;AKO-A;18.97B;16.70;-;-;6.78;2.72;-;-;-;-;13.19%;-;-;20.00;-0.20%;206
207;AKO-B;3.38B;19.71;17.65;-;1.26;3.22;20.54;363.33;30.20%;9.69%;2.60%;-5.50%;9.50%;22.95;0.75%;11,867
208;AKP;-;-;-;-;-;-;-;-;-;-;-;-;-;13.47;-0.30%;6,459
209;AKR;2.26B;45.90;72.70;15.30;8.83;1.52;130.47;-;-20.50%;1.06%;7.70%;3.00%;13.20%;28.04;0.97%;121,127
210;AKRX;1.63B;-;27.45;-;2.14;2.26;-;59.78;-128.00%;-4.82%;-26.90%;-7.80%;26.80%;12.97;-0.31%;772,159
211;AKS;1.50B;-;5.14;-;0.23;51.67;32.63;21.23;453.30%;28.05%;15.00%;21.57%;0.50%;4.81;3.44%;5,630,328
212;AKTS;185.81M;-;-;-;154.84;13.40;12.55;-;-79.50%;33.60%;-;-;-;8.31;0.00%;46,182
213;AKTX;30.84M;-;-;-;-;1.91;-;-;-84.30%;3.20%;39.20%;-;-;2.04;0.03%;3,827
214;AL;4.71B;11.43;8.05;1.76;3.03;1.09;18.14;-;6.30%;23.76%;23.40%;6.50%;18.30%;45.58;0.09%;147,216
215;ALB;11.51B;15.59;17.23;1.23;3.50;3.12;12.67;-;8.30%;12.92%;4.30%;12.70%;4.00%;102.99;-1.86%;762,063
216;ALBO;395.54M;-;-;-;33.24;2.54;2.16;-;76.30%;-17.10%;39.00%;-;-;32.40;1.98%;17,452
217;ALCO;266.74M;-;-;-;3.16;1.63;10.03;-;-235.30%;-;-19.70%;-;0.40%;33.90;0.15%;4,980
218;ALD;-;-;-;-;-;-;-;-;-;-;-;-;-;42.69;-0.28%;1,211
219;ALDR;1.16B;-;-;-;1285.84;4.75;3.75;-;-53.40%;28.90%;-51.90%;23.46%;-39.60%;17.00;1.49%;295,011
220;ALDX;189.04M;-;-;-;-;5.16;4.53;-;14.80%;-10.60%;25.90%;-;-;9.82;1.77%;158,066
221;ALE;3.87B;27.40;20.60;4.57;2.76;1.84;31.77;96.82;-0.50%;9.27%;3.90%;6.00%;8.10%;74.58;-1.21%;37,238
222;ALEX;1.63B;5.29;34.29;0.26;3.54;1.22;171.48;-;542.40%;-35.15%;98.90%;20.00%;10.20%;22.69;1.02%;67,164
223;ALFA;-;-;-;-;-;-;-;-;-;-;-;-;-;51.07;0.12%;319
224;ALG;1.11B;17.45;14.89;2.64;1.13;2.32;25.48;144.27;34.90%;7.56%;14.20%;6.60%;7.60%;94.10;-0.21%;5,144
225;ALGN;31.16B;93.75;62.24;3.60;17.97;25.59;43.73;90.92;65.70%;25.36%;40.40%;26.06%;21.30%;393.22;1.10%;364,852
226;ALGR;182.02M;-;-;-;-;1591.67;-;-;-;-;-;-;-;9.60;0.52%;28,700
227;ALGRU;155.74M;-;-;-;-;1732.77;-;-;-;-;-;-;-;10.40;0.00%;0
228;ALGT;2.02B;14.91;10.47;1.04;1.27;3.13;5.42;-;-43.50%;24.57%;12.90%;14.40%;10.60%;128.00;0.95%;33,904
229;ALIM;74.87M;-;-;-;1.89;-;4.48;-;47.70%;39.30%;12.10%;-;-;1.02;-0.97%;30,834
230;ALJJ;65.98M;6.92;-;-;0.18;0.74;13.20;3.16;43.50%;-;49.60%;-;-;1.75;0.00%;2,040
231;ALK;8.29B;14.99;11.15;1.85;1.03;2.31;5.29;12.68;-7.00%;44.54%;22.60%;8.09%;11.20%;66.26;-1.53%;914,104
232;ALKS;6.54B;-;77.38;-;6.40;5.65;15.10;-;35.30%;607.79%;-47.10%;65.99%;9.40%;42.71;1.28%;173,292
233;ALL;34.83B;12.36;11.01;0.97;0.88;1.68;71.22;8.27;49.50%;-2.65%;8.30%;12.74%;2.90%;99.96;-0.42%;387,086
234;ALLE;8.57B;25.34;18.33;2.08;3.36;16.77;45.21;30.30;43.50%;9.49%;7.70%;12.20%;3.50%;89.40;0.01%;129,901
235;ALLK;1.86B;-;-;-;-;-;28.98;-;-37.70%;-10.40%;-;-;-;46.49;-0.50%;74,240
236;ALLT;211.05M;-;-;-;2.38;1.52;-;-;30.80%;61.10%;-27.51%;-;-;6.30;0.64%;22,139
237;ALLY;11.54B;10.22;7.70;0.81;1.35;0.90;2.89;6.45;2.40%;14.29%;-64.80%;12.67%;2.50%;27.27;-0.11%;1,122,287
238;ALN;9.93M;-;-;-;2.76;-;-;2.48;62.80%;-;-27.90%;-;-53.70%;0.14;-4.79%;296,443
239;ALNA;240.68M;-;-;-;-;3.23;-;-;11.70%;-2.30%;-;-;-;10.30;-2.00%;7,286
240;ALNY;9.45B;-;-;-;88.50;5.79;6.53;-;-13.10%;-2.40%;-20.80%;46.09%;6.10%;93.62;0.39%;290,390
241;ALO;61.66M;4.00;1.84;-;0.65;0.22;-;-;5.90%;11.10%;-24.14%;-;-;0.75;2.42%;100,539
242;ALOT;156.96M;29.07;27.59;-;1.24;2.28;26.60;-;12.30%;43.64%;18.20%;-;13.10%;21.80;0.00%;5,511
243;ALPN;93.93M;-;-;-;93.93;1.35;1.34;-;89.40%;-12.90%;21.30%;-;-;6.45;-0.77%;9,153
244;ALQA;11.33M;-;-;-;0.96;0.93;1.03;-;16.30%;-;-1.70%;15.00%;73.90%;2.25;3.69%;1,129
245;ALRM;2.73B;61.52;41.06;3.19;7.25;10.10;25.73;74.10;265.30%;14.62%;17.60%;19.30%;28.60%;57.02;0.64%;154,527
246;ALRN;45.24M;-;-;-;-;1.23;1.26;-;-24.30%;-1.70%;-;1.20%;-;3.19;16.00%;63,704
247;ALSK;87.70M;13.10;-;-;0.39;0.53;8.43;-;-194.20%;-;-16.10%;-;-9.20%;1.68;1.81%;17,672
248;ALSN;7.14B;14.94;11.16;1.00;2.79;11.87;74.41;12.69;84.30%;7.76%;-3.20%;14.97%;1.10%;52.88;-0.81%;375,966
249;ALT;17.93M;-;-;-;1.43;0.37;-;-;-136.70%;-;-31.00%;-;-15.70%;13.08;-5.93%;135,033
250;ALTR;2.82B;-;89.74;-;7.79;13.27;14.15;175.12;-885.30%;60.28%;-;50.17%;-;42.04;1.84%;98,548
251;ALTS;-;-;-;-;-;-;-;-;-;-;-;-;-;38.20;-0.18%;134
252;ALTY;-;-;-;-;-;-;-;-;-;-;-;-;-;15.11;0.04%;2,845
253;ALV;8.00B;14.05;10.38;0.91;0.83;4.01;15.77;-;-12.50%;13.30%;2.00%;15.50%;4.70%;87.77;-4.32%;424,834
254;ALX;1.76B;25.18;-;-;7.58;5.75;5.99;61.55;-6.90%;-;10.20%;-;3.80%;344.70;0.26%;486
255;ALXN;29.26B;-;15.04;-;7.81;3.26;24.86;170.68;23.50%;18.16%;11.10%;17.23%;25.60%;129.05;0.42%;1,032,067
256;AM;5.65B;21.64;13.87;1.30;6.39;3.67;289.66;-;2.70%;24.62%;113.40%;16.70%;312.50%;29.25;-1.98%;208,319
257;AMAG;716.99M;-;-;-;1.25;0.97;2.04;6.71;39.90%;54.80%;-51.30%;-;48.20%;21.00;2.19%;291,841
258;AMAT;38.87B;9.07;8.91;0.52;2.26;5.69;9.76;16.45;105.40%;-1.59%;106.00%;17.44%;10.80%;38.66;-1.13%;4,690,224
259;AMBA;1.21B;-;60.90;-;4.34;2.96;3.22;22.07;-63.80%;22.44%;0.30%;-2.97%;19.50%;38.12;-1.12%;204,476
260;AMBC;965.53M;9.76;6.68;0.89;1.46;0.53;21.75;-;-542.60%;-63.46%;-53.60%;11.00%;-1.90%;20.94;-0.48%;167,735
261;AMBO;110.00M;11.92;-;0.48;1.53;3.27;1.97;-;227.40%;-;14.90%;25.00%;-9.80%;5.69;-0.52%;10,455
262;AMBR;251.57M;-;-;-;3.07;9.02;33.54;-;32.50%;46.70%;-12.10%;20.00%;12.80%;9.58;2.13%;24,807
263;AMC;2.53B;-;59.65;-;0.47;1.33;7.99;6.29;-520.50%;734.15%;7.84%;6.20%;20.30%;19.55;-4.17%;1,438,592
264;AMCA;-;-;-;-;-;-;-;-;-;-;-;-;-;28.72;-0.07%;120
265;AMCN;25.68M;-;-;-;1.30;0.11;-;-;9.70%;-;-47.90%;20.00%;-42.80%;0.39;-2.08%;30,584
266;AMCX;3.65B;8.98;7.35;1.62;1.27;22.54;8.76;8.67;64.60%;4.91%;26.70%;5.53%;15.70%;65.32;0.96%;168,669
267;AMD;31.95B;-;49.19;-;4.90;36.23;32.51;171.80;-75.80%;41.67%;8.10%;0.56%;-0.30%;32.45;-0.49%;89,904,184
268;AMDA;2.86M;-;-;-;0.29;0.12;0.32;-;77.00%;-;64.50%;-;-13.40%;0.26;11.15%;1,238,074
269;AME;18.64B;27.75;22.92;2.01;4.04;4.29;33.43;27.01;16.10%;9.47%;6.20%;13.80%;5.20%;80.00;-0.67%;585,882
270;AMED;3.90B;45.15;31.46;2.10;2.45;9.96;150.64;30.36;35.40%;13.45%;20.70%;21.53%;1.30%;123.82;1.90%;105,041
271;AMG;7.61B;15.88;8.24;1.50;3.17;2.14;19.37;6.20;-2.80%;13.19%;20.50%;10.56%;5.00%;141.57;-1.69%;114,981
272;AMGN;134.12B;17.24;14.27;3.21;5.78;9.12;4.56;18.75;7.30%;3.83%;14.40%;5.38%;5.80%;208.05;0.41%;828,007
273;AMGP;3.17B;91.76;19.97;1.84;30.35;143.75;598.02;64.68;-76.10%;89.06%;-;50.00%;-;17.06;-1.10%;223,563
274;AMH;6.59B;-;83.01;-;6.51;1.28;123.12;34.85;41.60%;124.17%;43.20%;14.40%;191.80%;22.33;-0.02%;669,588
275;AMID;307.42M;-;-;-;0.41;1.77;18.08;-;-282.00%;46.30%;-52.50%;1.00%;25.60%;5.86;0.17%;79,429
276;AMJ;-;-;-;-;-;-;-;-;-;-;-;-;-;27.19;-1.16%;714,784
277;AMJL;-;-;-;-;-;-;-;-;-;-;-;-;-;18.00;-1.91%;5,035
278;AMKR;1.89B;12.02;9.52;1.18;0.43;1.07;4.96;-;32.60%;46.69%;39.80%;10.17%;8.70%;7.64;-2.18%;522,735
279;AMLP;-;-;-;-;-;-;-;-;-;-;-;-;-;10.55;-1.28%;6,849,154
280;AMMA;4.50M;-;-;-;1.61;-;9.00;-;-31.00%;-;-;-;-;0.27;-0.37%;160,255
281;AMN;2.50B;19.42;15.07;1.26;1.20;4.07;109.29;18.14;11.60%;8.81%;49.50%;15.44%;15.80%;53.30;1.14%;169,164
282;AMNB;344.37M;16.17;13.78;4.04;5.19;1.63;10.34;24.77;9.90%;7.01%;0.40%;4.00%;1.70%;40.10;0.38%;2,371
283;AMOT;466.72M;30.94;24.41;1.03;1.63;4.74;30.50;30.50;20.80%;21.58%;14.00%;30.00%;19.80%;49.28;0.94%;6,163
284;AMP;21.86B;11.20;9.22;0.75;1.74;3.88;8.47;25.22;44.30%;9.39%;19.50%;15.00%;3.30%;148.27;-0.30%;269,486
285;AMPE;52.96M;-;-;-;-;-;11.27;-;-123.00%;-;-18.40%;-;-;0.51;-2.24%;912,138
286;AMPH;890.70M;-;17.15;-;3.59;2.82;17.50;-;-117.60%;318.52%;-15.90%;25.00%;3.30%;19.35;-0.15%;26,482
287;AMR;761.48M;-;7.57;-;4.22;0.45;9.24;-;-;188.42%;-;-;-;4.26;2.65%;852,710
288;AMRB;92.16M;21.07;15.13;1.40;4.43;1.28;1.57;24.91;-27.20%;14.99%;15.30%;15.00%;-0.80%;15.65;-0.82%;1,450
289;AMRC;624.31M;18.51;18.19;0.74;0.80;1.78;22.30;-;98.90%;6.51%;5.20%;25.00%;2.60%;13.65;-0.36%;24,863
290;AMRH;33.35M;-;-;-;0.72;1.38;-;-;-250.20%;38.50%;-;-;-;1.33;-0.75%;61,376
291;AMRK;99.05M;-;12.22;-;0.01;1.32;20.21;-;-23.60%;191.67%;-6.20%;-;-2.10%;12.69;-1.09%;3,487
292;AMRN;3.60B;-;-;-;18.21;-;35.20;-;45.20%;85.70%;29.10%;35.40%;-;13.30;7.26%;75,285,138
293;AMRS;404.42M;-;42.16;-;2.68;-;28.48;-;71.80%;113.50%;49.80%;30.00%;14.20%;8.28;3.37%;627,673
294;AMRX;7.17B;-;16.17;-;6.65;6.02;116.60;-;1.50%;48.26%;-58.50%;42.00%;5.90%;23.02;-1.62%;555,588
295;AMS;17.56M;26.56;-;-;0.87;0.72;5.02;1.89;-61.50%;-;50.80%;-;2.80%;3.10;2.39%;3,162
296;AMSC;149.70M;-;-;-;2.87;2.66;5.59;-;12.90%;46.30%;32.60%;35.00%;-11.20%;6.51;2.84%;68,854
297;AMSF;1.20B;19.13;19.60;1.91;3.18;2.70;56.62;28.38;-24.60%;-5.42%;14.10%;10.00%;3.20%;62.70;0.24%;17,253
298;AMSWA;361.57M;38.50;31.11;2.41;3.19;3.14;4.26;-;-27.50%;22.58%;-2.90%;16.00%;2.30%;11.90;0.68%;48,672
299;AMT;64.63B;59.14;40.21;6.76;9.36;11.65;70.62;43.10;32.70%;24.15%;10.50%;8.76%;18.30%;145.69;-0.47%;498,720
300;AMTD;31.50B;26.65;13.95;0.87;6.25;3.93;23.45;-;4.10%;19.36%;9.20%;30.80%;6.80%;54.99;0.20%;1,004,952
301;AMTX;19.91M;-;-;-;0.12;-;18.10;-;-93.20%;27.10%;-40.10%;-;-4.50%;1.03;-2.83%;33,508
302;AMU;-;-;-;-;-;-;-;-;-;-;-;-;-;17.12;-1.02%;33,036
303;AMUB;-;-;-;-;-;-;-;-;-;-;-;-;-;17.47;0.00%;0
304;AMWD;1.47B;22.10;9.62;2.76;1.05;2.38;25.55;21.99;-14.80%;12.59%;41.30%;8.00%;14.70%;83.10;0.18%;82,756
305;AMX;54.21B;-;14.12;-;1.00;6.10;12.60;19.22;238.00%;25.90%;-17.90%;18.57%;5.70%;16.39;0.31%;693,446
306;AMZA;-;-;-;-;-;-;-;-;-;-;-;-;-;7.40;-1.50%;872,246
307;AMZN;957.90B;175.68;75.54;3.83;4.60;26.86;35.41;72.68;-7.10%;46.40%;122.80%;45.93%;23.80%;1954.53;1.04%;2,430,463
308;AN;3.92B;10.26;8.93;1.28;0.18;1.58;73.80;9.42;-4.30%;3.48%;9.50%;8.00%;6.60%;42.70;-1.90%;339,737
309;ANAB;2.44B;-;-;-;812.54;8.56;9.10;-;-438.10%;-44.20%;-;-;-;94.83;-6.98%;299,278
310;ANAT;3.54B;11.25;-;-;1.01;0.67;8.02;8.54;58.70%;-;8.40%;-;2.60%;129.50;-1.28%;8,997
311;ANCB;70.28M;14.77;14.00;-;3.15;0.99;3.59;9.63;95.00%;2.56%;82.50%;-;2.50%;28.00;0.00%;302
312;ANCX;568.24M;18.40;14.65;2.30;5.23;1.30;3.87;54.12;-27.90%;11.36%;-8.30%;8.00%;21.10%;27.16;-0.44%;10,518
313;ANDE;1.10B;58.88;15.20;7.36;0.32;1.33;18.74;-;-368.80%;48.07%;-19.00%;8.00%;-6.90%;38.00;-1.17%;56,235
314;ANDV;23.67B;20.66;12.78;0.52;0.55;2.38;61.01;-;-29.40%;41.55%;-7.20%;39.88%;3.20%;161.62;1.73%;1,018,800
315;ANDX;11.02B;21.24;15.07;1.46;3.17;3.92;250.41;17.71;11.20%;24.56%;-8.10%;14.55%;81.30%;48.27;-3.84%;296,599
316;ANET;20.80B;78.80;32.17;3.53;10.96;11.88;11.18;29.45;140.20%;15.72%;73.00%;22.32%;53.50%;273.79;-0.15%;219,593
317;ANF;1.42B;25.38;21.34;1.41;0.39;1.25;2.44;4.86;571.40%;16.41%;-32.90%;18.00%;-5.00%;21.01;0.57%;940,566
318;ANFI;68.86M;2.13;1.35;0.09;0.12;0.34;-;-;-6.10%;16.67%;11.50%;25.00%;10.90%;1.70;-5.03%;143,128
319;ANGI;11.06B;-;86.56;-;11.58;10.19;-;226.18;-136.80%;114.05%;19.20%;6.00%;36.40%;22.55;0.58%;180,480
320;ANGL;-;-;-;-;-;-;-;-;-;-;-;-;-;29.02;0.07%;54,626
321;ANGO;866.38M;98.16;25.14;4.67;2.52;1.61;11.49;23.04;75.70%;9.38%;54.60%;21.00%;0.10%;23.91;1.92%;51,193
322;ANH;458.53M;15.11;10.63;-;2.89;0.88;36.39;10.71;192.10%;-10.46%;-7.40%;-5.81%;-5.90%;4.72;-0.21%;460,840
323;ANIK;615.36M;40.02;29.07;4.00;5.68;2.52;4.42;24.81;-9.00%;57.11%;19.00%;10.00%;9.70%;42.27;-0.26%;37,341
324;ANIP;649.68M;46.37;9.22;7.03;3.43;3.38;11.81;11.79;215.70%;18.33%;16.40%;6.60%;54.10%;53.48;-0.15%;15,416
325;ANSS;15.56B;49.39;33.60;7.48;13.34;6.15;22.36;37.28;6.10%;8.44%;8.10%;6.60%;6.50%;184.82;0.79%;112,963
326;ANTH;2.07M;-;-;-;-;0.38;-;-;23.40%;18.70%;-;10.00%;-;0.07;-6.84%;64,148
327;ANTM;71.44B;22.32;15.97;1.44;0.79;2.46;15.26;34.40;10.80%;10.44%;4.60%;15.49%;7.90%;271.29;-0.71%;339,650
328;ANW;57.26M;-;1.12;-;0.01;0.10;0.81;-;-169.40%;129.10%;-30.50%;10.50%;-4.80%;1.53;8.51%;522,975
329;ANY;3.81M;-;-;-;0.05;0.64;-;-;84.70%;-;-0.40%;20.00%;188.30%;0.26;6.16%;439,499
330;AOA;-;-;-;-;-;-;-;-;-;-;-;-;-;54.88;0.13%;22,255
331;AOBC;824.60M;40.53;19.59;2.70;1.34;1.94;32.72;9.66;-91.30%;18.47%;-30.70%;15.00%;0.60%;15.60;2.66%;619,583
332;AOD;-;-;-;-;-;-;-;-;-;-;-;-;-;8.85;-0.11%;108,409
333;AOK;-;-;-;-;-;-;-;-;-;-;-;-;-;34.13;-0.12%;11,605
334;AOM;-;-;-;-;-;-;-;-;-;-;-;-;-;37.89;-0.05%;98,622
335;AON;37.33B;32.96;16.96;2.51;3.43;8.40;8.37;565.68;-36.40%;13.31%;-0.80%;13.15%;-2.80%;155.70;0.35%;639,096
336;AOR;-;-;-;-;-;-;-;-;-;-;-;-;-;45.22;0.05%;18,803
337;AOS;10.04B;24.88;19.86;2.20;3.20;5.75;15.25;45.87;17.30%;12.02%;19.90%;11.30%;9.10%;55.55;-4.42%;1,568,628
338;AOSL;296.46M;25.74;7.89;1.51;0.70;1.04;2.25;-;-15.00%;18.01%;32.90%;17.00%;4.60%;11.88;-2.22%;65,715
339;AP;85.55M;-;173.75;-;0.19;0.56;3.87;-;87.20%;108.30%;-25.10%;-;8.10%;6.80;-2.16%;18,329
340;APA;18.14B;18.71;26.78;-;2.78;2.37;18.66;-;202.20%;-2.04%;-5.40%;-;-18.90%;47.94;0.97%;1,604,576
341;APAM;2.55B;12.16;10.24;1.11;3.03;14.71;10.75;31.30;36.10%;5.42%;-3.35%;11.00%;9.10%;33.13;-0.37%;74,779
342;APB;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;13.51;0.90%;11,341
343;APC;33.39B;-;16.96;-;2.82;3.74;14.39;-;49.50%;33.50%;-21.30%;12.00%;-3.80%;66.98;1.47%;1,977,985
344;APD;37.20B;22.24;20.72;2.03;4.21;3.56;12.43;116.84;2.50%;10.25%;2.10%;10.95%;-3.20%;169.41;-0.26%;203,077
345;APDN;43.08M;-;-;-;11.05;14.60;17.23;-;5.20%;50.00%;8.10%;-;20.70%;1.57;7.47%;1,278,907
346;APEI;538.67M;25.68;18.16;1.71;1.80;1.69;2.78;13.99;-28.60%;7.28%;-14.60%;15.00%;-0.90%;31.40;0.32%;22,025
347;APEN;157.54M;-;-;-;2.45;2.25;4.58;-;98.10%;29.30%;36.70%;-;57.30%;7.03;1.30%;2,244
348;APF;215.86M;2.97;-;-;39.48;0.78;-;-;-;-;0.00%;-;-;16.55;0.67%;871
349;APH;28.65B;25.11;23.78;2.50;3.75;7.57;28.90;53.20;27.00%;10.06%;14.40%;10.05%;10.30%;93.94;-0.78%;586,460
350;APHB;16.79M;-;-;-;289.56;2.00;2.90;-;91.90%;9.20%;46.10%;-;-29.60%;0.97;-4.90%;39,959
351;APLE;3.99B;23.14;18.32;-;3.17;1.12;-;51.22;7.70%;3.28%;1.60%;-;27.60%;17.40;0.49%;317,588
352;APLS;1.07B;-;-;-;-;4.53;4.23;-;-88.00%;-16.30%;-;-;-;19.24;1.10%;65,573
353;APO;7.21B;11.48;11.18;-;3.24;7.24;6.25;19.16;109.80%;116.01%;16.90%;-1.64%;-1.80%;36.20;0.84%;173,740
354;APOG;1.18B;15.62;11.05;1.04;0.84;2.28;49.12;20.36;-11.90%;21.48%;31.40%;15.00%;13.60%;42.16;-0.80%;67,817
355;APOP;31.78M;-;-;-;-;5.23;-;-;28.50%;-35.70%;-;-;-;4.85;-0.65%;430
356;APPF;2.86B;159.00;73.20;6.36;17.27;27.54;54.21;142.84;212.00%;46.63%;22.20%;25.00%;62.50%;82.40;1.42%;43,270
357;APPN;2.26B;-;-;-;10.91;66.00;44.75;-;-160.40%;24.60%;-;-;-;34.14;-0.52%;86,941
358;APPS;93.70M;-;16.35;-;1.33;3.18;10.90;-;-70.80%;640.00%;7.30%;25.00%;80.90%;1.20;-0.83%;48,695
359;APRI;7.01M;-;-;-;-;1.28;1.03;-;15.90%;-8.80%;36.20%;-;-;0.30;3.44%;204,295
360;APRN;335.87M;-;-;-;0.43;1.90;1.84;-;-465.80%;28.20%;-;-;-;1.67;0.30%;1,012,489
361;APT;51.50M;18.81;-;1.25;1.13;1.63;6.87;28.61;-5.40%;-;30.40%;15.00%;1.40%;3.65;0.00%;4,034
362;APTI;1.74B;-;163.58;-;8.20;11.03;6.98;114.60;14.20%;354.90%;-;-;-;38.33;1.00%;279,444
363;APTO;90.42M;-;-;-;-;5.30;4.91;-;53.20%;22.20%;19.90%;-;-;2.67;0.75%;53,589
364;APTS;681.94M;-;-;-;1.99;0.47;32.02;-;46.60%;-12.00%;-56.80%;7.00%;88.10%;17.28;0.12%;75,701
365;APTV;23.30B;20.96;14.86;1.57;1.68;6.62;24.02;-;31.10%;10.28%;3.70%;13.37%;-3.70%;85.50;-2.83%;903,051
366;APTX;908.34M;-;-;-;129.76;4.89;5.07;-;-107.20%;-6.40%;-;-;-;28.70;8.75%;58,769
367;APU;3.72B;23.72;15.07;1.01;1.33;5.66;730.08;-;-29.90%;66.16%;67.50%;23.50%;-3.40%;39.44;-0.93%;96,918
368;APVO;117.89M;-;-;-;5.92;2.03;2.64;-;74.20%;2.90%;7.10%;-;30.10%;5.12;1.59%;33,946
369;APWC;39.47M;9.31;-;-;0.09;0.24;0.73;5.89;205.60%;-;-2.10%;-;-1.70%;2.56;-5.19%;226
370;APY;3.46B;27.86;27.55;-;3.11;3.67;112.46;-;523.50%;17.98%;-;-;-;44.47;0.37%;155,243
371;AQ;439.21M;-;31.43;-;3.87;4.60;7.11;-;123.30%;457.53%;-;16.00%;-;12.58;-1.64%;52,849
372;AQB;35.81M;-;-;-;534.46;1.49;10.23;-;33.90%;12.20%;5.50%;-;-;2.90;3.57%;11,511
373;AQMS;97.03M;-;-;-;26.22;1.09;2.64;-;-47.50%;52.00%;-;35.00%;-;2.58;-0.77%;212,138
374;AQN;4.98B;77.01;-;-;3.10;1.74;-;-;-;-;-;-;-;10.45;-0.95%;39,296
375;AQST;427.46M;-;-;-;5.57;-;40.33;-;4.40%;12.90%;-41.90%;-;283.20%;17.70;3.15%;65,160
376;AQUA;2.10B;109.39;20.96;-;1.58;5.70;36.57;-;-80.50%;21.94%;-;-;-;18.06;0.67%;323,445
377;AQXP;68.45M;-;-;-;2.74;0.75;0.67;-;-14.30%;49.30%;-12.00%;-;-;2.93;0.69%;38,916
378;AR;6.15B;9.00;10.03;0.12;1.67;0.74;13.05;90.89;214.60%;73.49%;30.10%;73.11%;52.40%;18.79;0.43%;1,555,703
379;ARA;692.55M;-;33.38;-;0.87;-;9.98;7.37;-3.60%;3.00%;-24.20%;16.00%;12.10%;21.00;1.82%;15,593
380;ARAY;343.16M;10.34;-;-;0.85;7.02;4.13;29.33;210.10%;40.00%;18.10%;-;5.10%;4.07;1.87%;248,198
381;ARC;138.64M;-;19.47;-;0.35;0.97;5.61;3.55;79.80%;7.14%;21.40%;10.00%;-0.60%;2.94;0.68%;89,429
382;ARCB;1.23B;35.74;13.61;1.67;0.42;1.82;5.41;8.98;87.80%;6.82%;44.50%;21.35%;6.50%;47.80;0.95%;155,075
383;ARCC;7.38B;8.54;10.29;2.85;5.90;1.02;14.51;25.46;4.00%;6.56%;-6.60%;3.00%;9.20%;17.37;-0.06%;874,425
384;ARCH;1.82B;-;8.66;-;0.78;2.91;4.51;7.09;-107.50%;0.79%;36.00%;-;-9.20%;94.69;2.22%;99,050
385;ARCI;8.99M;-;-;-;0.35;0.31;22.46;-;-;-;21.00%;-;-18.30%;1.00;-3.85%;100,916
386;ARCO;1.40B;14.75;15.09;1.24;0.42;3.48;6.39;-;63.10%;35.63%;2.30%;11.90%;-2.70%;6.43;-1.91%;78,647
387;ARCT;103.38M;-;-;-;7.95;0.15;2.13;-;-356.80%;7.50%;-20.00%;-;-;9.60;-0.80%;23,215
388;ARCW;40.90M;-;-;-;0.52;1.05;81.79;-;-319.20%;-;-36.80%;15.00%;97.30%;1.90;5.56%;1,094
389;ARD;3.97B;65.74;8.44;13.29;0.44;-;8.53;14.12;81.60%;10.11%;-;4.95%;-;16.75;-0.48%;4,210
390;ARDC;361.87M;12.02;-;-;8.32;0.88;33.20;-;67.10%;-;0.00%;-;-;15.66;-0.38%;40,657
391;ARDM;17.39M;-;-;-;2.56;-;8.28;-;67.70%;-;15.10%;-;70.40%;1.15;4.55%;9,080
392;ARDS;111.28M;-;-;-;92.74;-;5.46;-;-208.90%;17.00%;-;-;-;12.89;-0.62%;6,152
393;ARDX;270.04M;-;-;-;6.08;1.39;1.27;-;51.60%;19.60%;-19.00%;30.00%;50.70%;4.38;1.74%;203,641
394;ARE;13.09B;45.22;52.91;452.18;10.65;1.98;45.62;-;179.50%;-19.24%;10.80%;0.10%;14.40%;122.94;-1.13%;229,564
395;ARES;4.96B;34.40;12.01;3.30;4.47;6.59;5.16;-;-45.30%;25.24%;-25.00%;10.43%;33.50%;23.05;0.00%;252,508
396;AREX;204.56M;-;-;-;1.81;0.36;-;-;-56.40%;10.30%;-66.50%;4.00%;-4.00%;2.26;-0.67%;136,862
397;ARGO;2.07B;158.82;15.68;22.69;1.15;1.17;16.31;11.07;-79.40%;7.03%;-8.30%;7.00%;5.90%;62.40;0.48%;28,266
398;ARGT;-;-;-;-;-;-;-;-;-;-;-;-;-;27.38;0.44%;68,387
399;ARGX;2.53B;-;-;-;57.29;6.52;-;-;-60.40%;-60.90%;-;-;-;79.20;1.69%;229,364
400;ARI;2.38B;12.13;9.52;1.24;6.46;1.02;31.14;56.38;-11.50%;10.74%;-1.20%;9.75%;42.80%;19.34;0.03%;302,273
401;ARII;898.67M;25.25;16.81;4.21;1.74;1.34;-;7.49;-51.10%;26.56%;-9.40%;6.00%;-7.70%;47.14;0.11%;22,380
402;ARKG;-;-;-;-;-;-;-;-;-;-;-;-;-;33.41;1.49%;143,628
403;ARKK;-;-;-;-;-;-;-;-;-;-;-;-;-;47.80;1.00%;96,548
404;ARKQ;-;-;-;-;-;-;-;-;-;-;-;-;-;36.49;0.11%;52,796
405;ARKR;77.51M;21.84;-;-;0.49;1.87;15.50;387.55;-0.50%;-;-8.00%;-;2.20%;22.81;-0.83%;108
406;ARKW;-;-;-;-;-;-;-;-;-;-;-;-;-;57.49;0.47%;42,993
407;ARL;291.37M;-;-;-;2.32;2.28;10.37;-;-896.80%;-;-29.60%;-;9.00%;15.51;-6.85%;818
